Wallclock Time Elapsed (s),Host Cycles Executed,Host Frequency (MHz),Target Cycles Emulated,Effective Target Frequency (MHz),FMR,HW Config,Workload,Run
1.6 s,78240071,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,1
1.6 s,78237241,50.000 MHz,78185837,49.967 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,2
1.6 s,78238791,50.000 MHz,78185837,49.966 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,3
1.6 s,78237668,50.000 MHz,78185837,49.967 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,4
1.6 s,78240198,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,5
1.6 s,78239829,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,6
1.6 s,78242001,50.000 MHz,78185837,49.964 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,7
1.6 s,78240426,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,8
1.6 s,78240559,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,9
1.6 s,78240445,50.000 MHz,78185837,49.965 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd.json,10
7.7 s,385061248,50.000 MHz,384914882,49.981 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,1
7.7 s,385063885,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,2
7.7 s,385059669,50.000 MHz,384914882,49.981 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,3
7.7 s,385061952,50.000 MHz,384914882,49.981 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,4
7.7 s,385066467,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,5
7.7 s,385064522,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,6
7.7 s,385060582,50.000 MHz,384914882,49.981 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,7
7.7 s,385062556,50.000 MHz,384914882,49.981 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,8
7.7 s,385065532,50.000 MHz,384914882,49.980 MHz,1.00,xilinx_vcu118_firesim_smallboom_gcd_tl_singlecore_4GB_no_nic,bare-gcd-10.json,9
